"Species href","Species-common","Species-sci","Obs-count","Icon href","is-visuallyHidden 2","Obs-date href","Obs-date","is-visuallyHidden 3","Obs-observer","is-visuallyHidden 4","Obs-location-name","Obs-location-name href","Icon href 4","is-visuallyHidden 5","is-visuallyHidden 6"
"https://ebird.org/species/swahaw/US-OR-051","Swainson's Hawk","Buteo swainsoni","1","[object Object]","Date:","https://ebird.org/checklist/S229067089","16 May 2000","Observer:","Oregon Birds Historical Data","Location:","Portland Airport","","[object Object]","Show details","Details:"
"https://ebird.org/species/brant/US-OR-051","Brant","Branta bernicla","1","[object Object]","Date:","https://ebird.org/checklist/S52936315","30 Jan 1999","Observer:","Tim Shelmerdine","Location:","Columbia Slough--NE 33rd Dr.","https://ebird.org/region/L1868812?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/trokin/US-OR-051","Tropical Kingbird","Tyrannus melancholicus","1","[object Object]","Date:","https://ebird.org/checklist/S10694718","3 Nov 1996","Observer:","Bill Tweit","Location:","Sauvie Island (Multnomah Co.)","https://ebird.org/region/L712038?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/canwar/US-OR-051","Canada Warbler","Cardellina canadensis","1","[object Object]","Date:","https://ebird.org/checklist/S98306017","24 Jun 1996","Observer:","Oregon Bird Records Committee OBRC","Location:","Portland--SE Gilham Ave.","","[object Object]","Show details","Details:"
"https://ebird.org/species/calhum/US-OR-051","Calliope Hummingbird","Selasphorus calliope","1","[object Object]","Date:","https://ebird.org/checklist/S218119512","16 May 1996","Observer:","Oregon Birds Historical Data","Location:","Mt. Tabor Park","https://ebird.org/region/L447381?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/tufduc/US-OR-051","Tufted Duck","Aythya fuligula","1","[object Object]","Date:","https://ebird.org/checklist/S43227246","2 Apr 1996","Observer:","Jeff Dillon","Location:","NW Sauvie Island","","[object Object]","Show details","Details:"
"https://ebird.org/species/brdowl/US-OR-051","Barred Owl","Strix varia","1","[object Object]","Date:","https://ebird.org/checklist/S218118500","20 Feb 1996","Observer:","Oregon Birds Historical Data","Location:","Reed College","","[object Object]","Show details","Details:"
"https://ebird.org/species/easkin/US-OR-051","Eastern Kingbird","Tyrannus tyrannus","2","[object Object]","Date:","https://ebird.org/checklist/S210916484","27 May 1994","Observer:","Oregon Birds Historical Data","Location:","Sandy River Delta Park","https://ebird.org/region/L728130?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/blkpho/US-OR-051","Black Phoebe","Sayornis nigricans","X","[object Object]","Date:","https://ebird.org/checklist/S75116129","12 May 1994","Observer:","Jay Parker","Location:","Oaks Bottom Wildlife Refuge","https://ebird.org/region/L453974?rank=lrec","","",""
"https://ebird.org/species/robgro/US-OR-051","Rose-breasted Grosbeak","Pheucticus ludovicianus","1","[object Object]","Date:","https://ebird.org/checklist/S115151149","28 Jun 1993","Observer:","J Ward","Location:","Valle Vista Terrace","","[object Object]","Show details","Details:"
"https://ebird.org/species/pacloo/US-OR-051","Pacific Loon","Gavia pacifica","1","[object Object]","Date:","https://ebird.org/checklist/S212726382","9 Jan 1993","Observer:","Nick Lethaby","Location:","Sauvie Island (Multnomah Co.)","https://ebird.org/region/L712038?rank=lrec","","",""
"https://ebird.org/species/slbgul/US-OR-051","Slaty-backed Gull","Larus schistisagus","1","[object Object]","Date:","https://ebird.org/checklist/S126091322","27 Dec 1992","Observer:","Shawneen Finnegan","Location:","Sauvie Island -- old pellet plant site","","[object Object]","Show details","Details:"
"https://ebird.org/species/sctfly/US-OR-051","Scissor-tailed Flycatcher","Tyrannus forficatus","1","[object Object]","Date:","https://ebird.org/checklist/S95126382","25 May 1992","Observer:","Oregon Bird Records Committee OBRC","Location:","Fairview","","[object Object]","Show details","Details:"
"https://ebird.org/species/rebmer/US-OR-051","Red-breasted Merganser","Mergus serrator","3","[object Object]","Date:","https://ebird.org/checklist/S210916757","16 Nov 1991","Observer:","Oregon Birds Historical Data","Location:","Dalton Point","https://ebird.org/region/L8835845?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/laplon/US-OR-051","Lapland Longspur","Calcarius lapponicus","4","[object Object]","Date:","https://ebird.org/checklist/S212523515","10 Nov 1991","Observer:","Nick Lethaby","Location:","Sauvie Island (Multnomah Co.)","https://ebird.org/region/L712038?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/leafly/US-OR-051","Least Flycatcher","Empidonax minimus","1","[object Object]","Date:","https://ebird.org/checklist/S210915813","2 Jun 1991","Observer:","Oregon Birds Historical Data","Location:","Sauvie Island - Virginia Lake","","[object Object]","Show details","Details:"
"https://ebird.org/species/gcrfin/US-OR-051","Gray-crowned Rosy-Finch","Leucosticte tephrocotis","1","[object Object]","Date:","https://ebird.org/checklist/S212311884","13 May 1991","Observer:","Nick Lethaby","Location:","Flooded fields off Reeder Road","","[object Object]","Show details","Details:"
"https://ebird.org/species/amtspa/US-OR-051","American Tree Sparrow","Spizelloides arborea","1","[object Object]","Date:","https://ebird.org/checklist/S9454009","5 Nov 1990","Observer:","Karen Kearney","Location:","Sauvie Island (Multnomah Co.)","https://ebird.org/region/L712038?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/rosgoo/US-OR-051","Ross's Goose","Anser rossii","1","[object Object]","Date:","https://ebird.org/checklist/S162817541","14 Oct 1990","Observer:","Nick Lethaby","Location:","Sauvie Island--Raccoon Point","https://ebird.org/region/L831968?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/clagre/US-OR-051","Clark's Grebe","Aechmophorus clarkii","1","[object Object]","Date:","https://ebird.org/checklist/S162499749","27 Jul 1990","Observer:","Nick Lethaby","Location:","Sauvie Island--Raccoon Point","https://ebird.org/region/L831968?rank=lrec","","",""
"https://ebird.org/species/blkswi/US-OR-051","Black Swift","Cypseloides niger","4","[object Object]","Date:","https://ebird.org/checklist/S14439469","9 Jun 1990","Observer:","Greg Gillson","Location:","Multnomah Falls","https://ebird.org/region/L588062?rank=lrec","[object Object]","Show details","Details:"
